250, 0.08, -155.08433456990156, 124.89696836761473
500, 0.06, -149.62309805167075, 112.96466048555213
750, 0.58, 43.208795991548875, 184.67666705771228
1000, 0.72, 102.2771565398583, 148.13022954763795
1250, 0.78, 129.09510145866236, 133.6717712760374
1500, 0.84, 140.23800798150708, 135.86320424506735
1750, 0.82, 125.43214062251727, 154.5395316607838
2000, 0.66, 75.60347167713905, 178.00769327270115
2250, 0.78, 106.70549264716063, 173.46346651512707
2500, 0.84, 133.8855316923026, 145.21228195450573
2750, 0.82, 126.33497896386187, 151.67796142326944
3000, 0.76, 101.18285605289404, 165.99463641462964
3250, 0.64, 54.096177535261084, 182.0808575437012
