Laser Sensor:,False
 
Number of ePucks:,0
Number of obstacles:,11
 
Angular Velocity Noise Hypers:,0.0,0.7,0.5
Linear Velocity Noise Hypers:,0.15,1.0,0.03
egoPuck Max Velocity:,0.3,1.2
Reward Multipliers:,0.01,100.0,3.0,200.0,200.0
 
Checkpoint, Success Ratio, Average Reward, Reward Std Dev, ,Trial 0,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20,Trial 21,Trial 22,Trial 23,Trial 24,Trial 25,Trial 26,Trial 27,Trial 28,Trial 29,Trial 30,Trial 31,Trial 32,Trial 33,Trial 34,Trial 35,Trial 36,Trial 37,Trial 38,Trial 39,Trial 40,Trial 41,Trial 42,Trial 43,Trial 44,Trial 45,Trial 46,Trial 47,Trial 48,Trial 49
200, 0.04, -956.7306837348449, 2022.8478076379238,,-3250.4652759887163,-199.0,-128.45323298109352,-91.01439768777558,-197.8047879484815,-4209.507342391591,-199.2283118287375,-245.0069226423666,-279.73723907897704,-100.56205334087267,-199.0,-5770.434474910814,-94.19350178614619,-200.3009540556016,-198.93592209852787,-84.28550454387936,-198.989315247419,-199.0,-198.61313564053583,-107.73504753517389,-198.9155219207282,-199.00000000000009,-8691.062667066042,-199.0,-644.6365494444938,-199.0,173.74542065982126,-199.77941854464748,-128.48407079636598,-315.9054205068128,-6259.558271844028,-198.8457497765169,-6353.844985075081,-199.28778907479966,-197.51887517540254,-161.24996981562182,-85.6495613336072,-198.9161764158147,-93.36882910923292,-198.8457252330298,-199.95499503558278,-199.09364533228717,0.7685335558361714,-199.0,-5643.679881316002,-152.3742925683818,-184.4819934681089,-142.05201660819557,-201.29910047805552,-213.97521531235256
400, 0.0, -1203.1198506350968, 3129.238802101649,,-5126.452207243345,-198.69693780069528,-199.0,-197.52688652187356,-198.67653747355203,-199.03348029322882,-199.9741114933198,-112.86984586038908,-85.58611870163338,-198.50509494841387,-197.48103852971923,-3190.024507319817,-197.85342003176237,-198.99697091258528,-198.55954614145708,-199.53382889549803,-198.91563218293027,-198.07105108933004,-198.6805411198068,-7689.259027827799,-198.9287126125793,-198.78509994253776,-18411.917586605086,-85.30469396877925,-1612.2844294614408,-142.93597367030233,-198.99999999999997,-198.66576659927583,-199.3560399069493,-199.0,-1995.8802189364073,-199.0,-84.37701781647414,-199.31760140726036,-200.79135468315442,-198.60511757135754,-198.16779484351412,-200.00260674558712,-240.97280742292736,-9941.089045447947,-147.86662006558095,-108.03408574370341,-198.48209355311653,-198.35395056327795,-198.48466093534876,-198.47477888599366,-198.82754334758812,-199.0,-4531.495605572669,-88.89454105882828
600, 0.0, -2022.4415201700897, 4907.13212104679,,-199.84647176692684,-199.00000000000003,-85.4147036654559,-201.0670952368463,-215.89064599936574,-196.9645443500556,-198.24170396585214,-199.07573929572635,-13202.343449365211,-133.90496680137696,-198.15569396947043,-197.11004808760575,-96.06434766570277,-19582.612556019703,-199.81634784887837,-199.0,-199.5018948071322,-198.05358760400276,-197.7460294160611,-199.0,-197.8679547271846,-199.13013677746596,-4766.209258250199,-200.1958467756684,-205.3215619582868,-199.5606777814461,-199.739397744501,-198.67725326525158,-197.98597391815676,-92.51566282863863,-198.6179128076266,-7777.507118122465,-199.00000000000014,-114.21705722373417,-200.17974901935207,-271.62588072042513,-198.1972020125096,-198.2763057979488,-14326.956545648116,-16959.31825872993,-198.417032256937,-198.97065562219046,-16525.70814593869,-199.0,-199.67171446707934,-100.24148110695296,-199.00823329857224,-102.9756122453381,-199.33674808297894,-198.8368055114701
800, 0.0, -2159.8265160231585, 4199.490722503578,,-650.7521409527121,-196.67038828985073,-10113.837570047626,-197.7656451998992,-113.19478525076849,-196.84483391661624,-198.90248393689336,-198.19571688336492,-7984.585324451668,-198.4655299091603,-200.02575588640164,-199.0,-199.50770429026107,-198.07626862330386,-200.78475803396503,-85.23002693288849,-200.9613607620873,-6150.79304014051,-199.0,-199.0,-11448.816910221254,-198.93391767409247,-11511.476748732139,-18075.05402562502,-197.75931406589288,-2119.677648143748,-1712.398344225298,-186.41206923361713,-199.42431822030682,-198.92541962100842,-198.99459224640094,-199.0,-198.97830310948314,-199.0,-82.69478804082267,-198.91205142842398,-199.1324735422272,-239.47719074106868,-199.0,-133.03079315617325,-198.27990941308747,-199.0,-7284.028912984696,-198.97947769644423,-14635.547809579417,-197.66815839142467,-4505.363920728966,-83.75249381136902,-198.46775044583958,-4911.54512657171
