Laser Sensor:,True
 
Number of ePucks:,0
Number of obstacles:,11
 
Angular Velocity Noise Hypers:,0.0,0.7,0.5
Linear Velocity Noise Hypers:,0.15,1.0,0.03
egoPuck Max Velocity:,0.3,1.2
Reward Multipliers:,0.01,100.0,3.0,200.0,200.0
 
Checkpoint, Success Ratio, Average Reward, Reward Std Dev, ,Trial 0,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20,Trial 21,Trial 22,Trial 23,Trial 24,Trial 25,Trial 26,Trial 27,Trial 28,Trial 29,Trial 30,Trial 31,Trial 32,Trial 33,Trial 34,Trial 35,Trial 36,Trial 37,Trial 38,Trial 39,Trial 40,Trial 41,Trial 42,Trial 43,Trial 44,Trial 45,Trial 46,Trial 47,Trial 48,Trial 49
600, 0.0, -588.4171550334596, 1772.7076978017108,,-199.0,-199.7167144756523,-199.0,-199.07217888037246,-198.56509407113413,-154.65173224667134,-199.71247220545692,-197.8460463949098,-198.79466875885436,-198.96875766706262,-198.0494955012627,-199.66798618017773,-199.53675117471178,-199.31421066042572,-199.49735140444568,-11283.689345911578,-199.0,-197.95582141725444,-198.64207773823475,-197.2542385058894,-199.17696050669494,-198.74236271159438,-199.42209891318012,-200.04084009166,-200.100302098121,-200.45168214699356,-197.3125528912949,-198.99999999999994,-199.17388435176682,-95.29240248001284,-199.04390559507587,-198.99999999999986,-198.99999999999986,-198.59027564701668,-200.12835611114272,-199.2433866383953,-198.60595114518708,-199.0,-199.98645527012334,-6111.1670886675965,-198.99999999999994,-198.71208486652492,-198.38303848015883,-197.75654469337064,-2820.090098991847,-199.46398936966062,-199.95460306299793,-198.9060926552374,-199.0,-199.17785109323083
800, 0.0, -744.1558025107681, 2814.9869823872964,,-189.886081312809,-200.50994528409547,-200.12427759955133,-198.10416897498462,-199.41758657215365,-153.00936195830838,-196.92243706821773,-17630.563732451294,-198.59413752234462,-197.7984230709716,-198.92649951791407,-199.98162088714236,-119.90639386261188,-198.98837273395986,-198.67989559020975,-107.84959327560989,-199.18380786105928,-198.74858630901082,-197.9333358483528,-197.50225504357837,-199.0,-88.53599447896009,-198.50470520010444,-199.57755507540946,-199.8595611983608,-199.50812740349596,-199.0,-199.0,-199.27140664563058,-197.8481098964882,-200.14026246668362,-198.93623306396503,-199.49964610858808,-197.83328702589503,-198.9647249901492,-199.13384660169905,-132.5007924516378,-199.25769063300697,-10550.843844025529,-198.16768070071612,-81.41174511029811,-199.4996483616085,-199.0,-199.283664218319,-198.95196812935376,-198.71645369154896,-199.02254407165663,-198.49005958978117,-196.41222715308015,-198.98783450226958
1000, 0.0, -802.1103119815659, 2578.520536216441,,-198.96990365572339,-198.8587917918751,-198.75117006291867,-198.73918068429725,-198.1179541698762,-198.88156667776144,-199.41901325622015,-198.76823792154354,-199.0,-199.58721669904392,-199.0,-84.5135652238942,-197.59787239412535,-199.0,-200.10736416386257,-155.5106814456889,-198.29796539360248,-198.7187527551236,-198.82695733491522,-15100.417068068728,-200.5341541178709,-199.31756686230887,-200.4185033165839,-197.9253372945359,-199.93479523602426,-9994.933522921072,-199.4744316431908,-199.00000000000006,-198.10553971519633,-199.41151895480192,-198.99999999999991,-198.9153309525948,-198.65952205660975,-198.9521107407946,-199.3936220866739,-199.7062825752186,-198.8040459920017,-199.43391000878174,-198.92730080824356,-199.25024724932408,-199.4354748319646,-222.84425040507398,-198.03389051664735,-80.9501848018532,-198.99999999999994,-199.3166288833712,-198.6946753007482,-5907.191020500147,-198.26870757996863,-200.5997620274917
1200, 0.0, -194.05594839383713, 26.170690555478153,,-199.00000000000006,-199.2091371316593,-198.8391570854659,-199.8259057393116,-199.0,-199.37399798021386,-92.90829589990064,-198.24146836055223,-258.2723157394238,-119.7521783051363,-198.66042373901558,-199.03466200215706,-199.2840957494723,-199.34162904441854,-196.92885925810742,-199.0,-198.92348193451767,-199.66864183909829,-198.98822305684172,-215.79189960298783,-197.06942424057837,-199.1023051778867,-199.01810318413837,-198.77747181101208,-199.0,-199.3765795840272,-198.98029947600386,-198.33261720627053,-199.0,-199.37227303337778,-103.60054803036971,-198.01017587266566,-199.2563250270031,-198.07452837882872,-199.0,-200.02438406567256,-225.31139399250526,-197.77195344748546,-198.89746466164598,-199.73071814606297,-199.0,-199.15789859135953,-199.19442807614806,-199.0436787021802,-199.12894688360282,-198.74085391954938,-197.7070062331718,-201.12927573294337,-198.67678879434746,-133.26760495473945
