Laser Sensor:,True
 
Number of ePucks:,0
Number of obstacles:,11
 
Angular Velocity Noise Hyperparameters:,0.0,0.7,0.5
Linear Velocity Noise Hyperparameters:,0.15,1.0,0.03
ego_puck Max Velocity:,0.3,1.2Reward Multipliers:,0.01,100.0,3.0,200.0,200.0
 
Checkpoint, Success Ratio, Average Reward, Reward Std Dev, ,Trial 0,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20,Trial 21,Trial 22,Trial 23,Trial 24,Trial 25,Trial 26,Trial 27,Trial 28,Trial 29,Trial 30,Trial 31,Trial 32,Trial 33,Trial 34,Trial 35,Trial 36,Trial 37,Trial 38,Trial 39,Trial 40,Trial 41,Trial 42,Trial 43,Trial 44,Trial 45,Trial 46,Trial 47,Trial 48,Trial 49
250, 0.0, -199.00408027801257, 0.7775743680891081,,-199.0,-199.61349778895357,-198.19733775113346,-198.96945855719324,-199.33711644690712,-197.83499444474003,-199.00108328341312,-199.09669530157737,-199.0,-196.81948697474493,-200.31096240364892,-200.0413963959493,-199.76743530324424,-198.89145269155674,-196.9435254008761,-198.8815933444868,-199.04405322794656,-199.1094527426962,-198.65533503638122,-200.12729868260837,-200.42613132572973,-199.0,-199.03521986135075,-199.8933188095499,-199.11339800644083,-199.0,-199.0,-199.0,-199.15578067348116,-199.0,-199.09948841817268,-198.2039143748159,-197.0837900400347,-198.80136282254458,-199.0,-199.14458890360288,-199.0,-198.33608678942056,-199.82396267412577,-198.91253445027564,-199.31336621199884,-199.26172611793345,-198.53368026456715,-200.3117835308747,-198.92046984355164,-199.04776383096112,-197.93937878993287,-198.51254790957805,-200.4135761608158,-199.27796831281157
