Laser Sensor:,False
 
Number of ePucks:,0
Number of obstacles:,11
 
Angular Velocity Noise Hypers:,0.0,0.7,0.5
Linear Velocity Noise Hypers:,0.15,1.0,0.03
egoPuck Max Velocity:,0.3,1.2
Reward Multipliers:,0.01,0.0,0.0,200.0,200.0
 
Checkpoint, Success Ratio, Average Reward, Reward Std Dev, ,Trial 0,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20,Trial 21,Trial 22,Trial 23,Trial 24,Trial 25,Trial 26,Trial 27,Trial 28,Trial 29,Trial 30,Trial 31,Trial 32,Trial 33,Trial 34,Trial 35,Trial 36,Trial 37,Trial 38,Trial 39,Trial 40,Trial 41,Trial 42,Trial 43,Trial 44,Trial 45,Trial 46,Trial 47,Trial 48,Trial 49
200, 0.04, -181.3152253310488, 77.48765235421324,,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,199.09,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-133.17063629104058,-199.0,-199.0,-199.0,-199.0,-199.0,191.39000000000001,-193.85843098433585,-199.0,-199.0,-174.21219927706161,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0
400, 0.5, 0.8736330132423353, 193.8832278153943,,-199.0,197.24,195.94,75.59595313127338,-199.0,-199.0,-185.24660020607936,-199.0,199.54999999999998,-199.0,198.95000000000002,199.22,195.04,198.79999999999998,-199.0,199.64,-110.60920126493953,198.29,-199.0,195.94,-199.0,-126.49965656621617,-199.0,-199.0,-199.0,199.72,198.47,-199.0,-199.0,199.54999999999998,198.29,-199.0,198.47,-199.0,197.69,-224.28730885058266,-199.0,196.75,-161.8915355813386,-199.0,199.22,199.64,199.72,195.65,198.64000000000001,198.1,-199.0,-199.0,-199.0,198.1
600, 0.46, -18.843039386884595, 195.85190418976177,,196.22,197.24,-259.3531808888574,-199.0,-199.0,-199.0,-219.60607577274865,-108.0130194148642,199.54999999999998,198.1,-218.86699724106776,-120.7699603971828,190.97000000000003,198.1,-199.0,-199.0,198.47,-199.0,-199.0,198.95000000000002,-199.0,-199.0,199.22,-199.0,199.45000000000002,194.05,-103.74492124753496,198.95000000000002,-166.5514872621817,-269.80908283787977,-199.0,196.49,-199.0,199.33999999999997,192.20000000000002,71.2,198.79999999999998,199.72,187.75,-132.52876871505273,-392.462134664632,-177.78983650076736,198.29,197.69,-199.0,-199.0,176.54,-98.68650440146028,-199.0,123.74000000000001
800, 0.28, -80.15833001378624, 171.0793028713746,,-199.0,-191.66881909668027,-199.0,-199.0,-150.54688663047457,-114.17909956337402,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,185.69,197.9,-199.0,-199.0,-199.0,-199.0,198.47,198.47,-85.22211017941173,178.55,-126.47655740744082,197.47,192.20000000000002,171.5,-199.0,-236.37924707876965,197.47,-199.0,-199.0,-199.0,-199.0,181.08999999999997,-199.0,191.79999999999998,-187.59207448745389,-199.0,-199.0,-160.0443928498034,-112.85409198695912,-199.0,-199.0,-199.0,199.45000000000002,183.47,-199.0,197.0,-199.0,-139.48322140894453
1000, 0.3, -122.50004638450847, 511.7378717987688,,-124.2986750217307,198.64000000000001,-91.70501231212567,-199.0,-104.10353092781864,186.22,199.64,-199.0,-112.35010049568979,198.95000000000002,-199.0,198.29,-193.74812590977405,-111.26033407385268,-95.7910337464766,197.69,-199.0,-127.01424124809171,196.22,-128.79499420639635,-163.0016733658768,-199.0,-297.9952810987232,-184.34808920373894,-112.61268769076302,198.47,-199.0,-199.0,-87.79813809105502,-199.0,190.54,-199.0,-199.0,-3502.463349183404,199.54999999999998,199.54999999999998,199.09,198.79999999999998,-114.05644781284121,-186.45073098033308,-98.2570490393759,-121.63173028291092,198.79999999999998,-199.0,-199.0,-199.0,-199.0,195.35,-138.1210945344451,-199.0
