Laser Sensor:,True
Angular Velocity Noise Hyperparameters:,0.0,0.7,0.5
Linear Velocity Noise Hyperparameters:,0.15,1.0,0.03
Number of ePucks:,0
Number of obstacles:,11
50, 0.0, -198.96122509997338, 1.6383220783369927,,-196.7594976346208,-199.00000000000009,-199.0,-198.26630407778046,-196.0656771872873,-199.0000000000001,-202.15428989427718,-200.8494237809507,-198.84903931112717,-201.3320505319971,-198.7728043602976,-199.03567880214453,-196.5225276670785,-201.27356967828524,-199.95184126069785,-200.6075236428018,-198.37995191251827,-199.90957603145068,-200.88160923090112,-195.71877203952218,-200.14461517945756,-198.53505318838833,-199.68715642182585,-199.35415070044974,-201.439244432125,-197.3112426390845,-199.24949377727606,-195.5965082683743,-198.65063274099296,-197.82523368363857,-199.5373006180898,-198.13890706546016,-198.39044770238968,-197.37494426220294,-198.6731671797212,-198.45882757065985,-199.6618863964649,-200.06047342186025,-200.40172493927204,-199.5113967203394,-200.94555155198228,-196.84992450953192,-199.0178984500526,-199.89276484189637,-199.66315200324354,-198.99980712549703,-194.85480492931245,-200.94106623533793,-200.14999569400695,-196.41374570599663
